ID,ACRONYM,NAME
"358","mocped","Michael Otedola College Of Primary Education, Moforiji"
"359","mogcolis","Mohammed Goni College Of Legal And Islamic Studies"
"360","mulcoed","Muftau&amp;#039; Lanihun College Of Education"
"361","mcoed","Muhyldeen College Of Education, Ilorin"
"362","mcoeiails","Murtadha Col. Of Edu. Inst. Of Arabic &amp;amp; Islamic Legal Studies"
"363","namcoed","Nana Aishat Memorial College Of Education"
"364","nocoed","Nwafor Orizu College Of Education, Nsugbe"
"365","ocoeda","Onit College Of Education Abagana"
"366","ossceila","Osun State College Of Education, Ila-orangun"
"367","oyocoed","Oyo State College Of Education"
"368","royalcoed","Royal City College Of Education"
"369","sscoesok","Shehu Shagari College Of Education, Sokoto"
"370","sacoed","St. Augustine College Of Education"
"371","taccoed","The African Church College Of Education"
"372","coensukka","The College Of Education, Nsukka"
"373","topcoed","Topmost College Of Education"
"374","uscoega","Umar Suleiman College Of Education, Gashua"
"375","uecoeddut","Umar-ibn Ei-kanemi College Of Education, Dutsinma"
"376","unitycoed","Unity College Of Education, Aukpa-adoka"
"377","yewacoed","Yewa Central College Of Education"
"378","ybuscolgs","Yusuf Bala Usman College Of Legal And General Studies"
